店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
名駅酒場 魚正宗,050-5488-3381,,愛知県,名古屋市中村区名駅,3-11-16,,,
黒毛和牛ひつまぶし雅じゃぽ 名駅シンフォニー豊田ビル店,050-5492-0682,,愛知県,名古屋市中村区名駅,4-11-27,シンフォニー豊田ビルB1,,
うなぎ 四代目菊川 名古屋グローバルゲート店,050-5487-1788,,愛知県,名古屋市中村区平池町,4,グローバルゲート3F,,
尾毛多セコ代 柳橋市場店,050-5492-6832,,愛知県,名古屋市中村区名駅,4-15-30,,,
和食 個室 ほっこりルーセント,050-5485-5572,,愛知県,名古屋市西区牛島町,6-1,名古屋ルーセントタワー2F,,
個室焼鳥 風月 名古屋本店,050-5485-1446,,愛知県,名古屋市西区那古野,1-18-13,,,
はかた野菜巻き串 こだわり酎ハイ きばくもん 名駅店,050-5486-9875,,愛知県,名古屋市中村区名駅,3-24-9,吉十ビル,,
えん 名古屋JRセントラルタワーズ店,050-5485-6388,,愛知県,名古屋市中村区名駅,1-1-4,JRセントラルタワーズ13F,,
八丁ぼり 名駅3丁目店,050-5484-8812,,愛知県,名古屋市中村区名駅,3-18-22,,,
個室完備 まぐろ居酒屋 さかなや道場 名古屋駅太閤通口店,050-5486-2820,,愛知県,名古屋市中村区椿町,15-2,ミタニビル5F,,
札幌かに本家 名古屋駅前店,050-5492-2567,,愛知県,名古屋市中村区名駅南,1-17-20,,,
いけす酒場 ぴち天 名駅中店,050-5484-9303,,愛知県,名古屋市中村区名駅,4-5-28,桜通り豊田ビルB1,,
おでん 天麩羅 十八番 名古屋駅店,050-5489-4907,,愛知県,名古屋市中村区名駅,5-22-11,,,
光蔵 名駅店,050-5488-0500,,愛知県,名古屋市中村区名駅,3-14-6,COLLECT MARK3F,,
朧月夜 名駅本店,050-5484-7990,,愛知県,名古屋市中村区名駅,2-36-12,,,
名古屋 今井屋本店,050-5484-9568,,愛知県,名古屋市中村区名駅,4-7-1,ミッドランドスクエア4F,,
酒と鮪の旨い店 酒交場モヒ,050-5489-1723,,愛知県,名古屋市中村区椿町,11-16,,,
サカナのハチベエ　名駅4丁目店,050-5486-9136,,愛知県,名古屋市中村区名駅,4-21-7,,,
宮崎料理 万作 大名古屋ビルヂング店,050-5488-9203,,愛知県,名古屋市中村区名駅,3-28-12,大名古屋ビルヂング,,
魚柳,050-5488-8044,,愛知県,名古屋市中村区名駅,4-15-15,,,
口々（くちぐち）,050-5487-8423,,愛知県,名古屋市中村区名駅,3-16-8,1F,,
三喰撰酒 三重人 名駅店,050-5485-5135,,愛知県,名古屋市中村区名駅,4-5-15,コスモス名駅east4F,,
名古屋名物居酒屋 てしごと家 名古屋駅新幹線口店,050-5484-8024,,愛知県,名古屋市中村区椿町,15-2,名古屋ミタニビルB1,,
鉄板居酒屋 完全個室 天頂,050-5488-3299,,愛知県,名古屋市中村区則武,1-14-25,名駅OTビル,,
鴨鍋 鴨料理風月,050-5485-7291,,愛知県,名古屋市西区那古野,1-30-8,,,
鉄板懐石 宴,052-581-0880,,愛知県,名古屋市中村区名駅,3-13-31,モリシタビル1F,,
名古屋 日本料理 濱の季,050-5485-2935,,愛知県,名古屋市中村区名駅,4-16-23,第2丸中食品ビル2F,,
中国料理 東天紅 KITTE名古屋店,050-5485-2414,,愛知県,名古屋市中村区名駅,1-1-1,ＫＩＴＴＥ名古屋3F,,
鶏しゃぶしゃぶと炭火焼のお店 鶏や鍋や なか山,050-5494-4601,,愛知県,名古屋市中村区名駅,3-15-11,M三ダイニングビル4F,,
魚河岸本舗 ぴち天 みなみ丸 名駅南,050-5484-5837,,愛知県,名古屋市中村区名駅南,1-17-4,,,
名古屋名物 コーチン・知多豚 秀よし,050-5488-2269,,愛知県,名古屋市中村区則武,1-7-15,,,
博多野菜巻き串 もつ鍋 餃子 きじょうもん,050-5486-6228,,愛知県,名古屋市中村区名駅,4-16-33,パシフィックスクエア名駅1F,,
お好み焼道場 八代 納屋橋店,052-582-8460,,愛知県,名古屋市中村区名駅,5-24-12,,,
吟醸マグロ 名古屋ルーセントタワー店,050-5487-7908,,愛知県,名古屋市西区牛島町,6-1,名古屋ルーセントタワーB1,,
魚河岸本舗 ぴち天 本店,050-5485-8595,,愛知県,名古屋市中村区名駅,2-36-8,知多屋名塩ビルB1～1F,,
名駅 りきゅう（Rikyu）,050-5487-6131,,愛知県,名古屋市中村区名駅,4-26-12,DK名駅笹島ビル1F,,
名古屋めし 居酒屋 てしごと家 名駅店,050-5485-1077,,愛知県,名古屋市中村区名駅,3-24-7,,,
東京 竹葉亭 名古屋店,050-5488-7185,,愛知県,名古屋市中村区名駅,1-1-4,JRセントラルタワーズ12F,,
宴 （UTAGE） ハゲ天ミッドランドスクエア店,050-5493-7305,,愛知県,名古屋市中村区名駅,4-7-1,ミッドランドスクエア4F,,
鉄板居酒屋 完全個室 天頂,050-5488-3299,,愛知県,名古屋市中村区則武,1-14-25,名駅OTビル,,
串たつ 名駅西口店,052-454-0072,,愛知県,名古屋市中村区則武,1-4-2,和ビル1F,,
本まぐろと名古屋飯 花かるた,050-5489-1721,,愛知県,名古屋市中村区椿町,16-22,2F,,
加賀屋 名古屋店,050-5487-3967,,愛知県,名古屋市中村区名駅,1-1-4,JRセントラルタワーズ13F,,
鮨・焼うお 一魚魚一 ichiuo toichi,050-5487-8586,,愛知県,名古屋市中村区名駅,4-22-17,中央ビルB1,,
目利きの銀次 名古屋太閤通口駅前店,052-451-6588,,愛知県,名古屋市中村区椿町,15-28,サン名駅西口ビル2・3F,,
蒲郡桔梗屋 本店,050-5489-0929,,愛知県,名古屋市中村区名駅南,1-24-8,原ビルディング1F,,
鉄板焼 お好み焼 かしわ 名古屋JRゲートタワー店,050-5486-6984,,愛知県,名古屋市中村区名駅,1-1-3,JRゲートタワー12F,,
全席個室 別邸杜の倉（morinokura） 名駅4丁目ミッドランド裏店,050-5486-3644,,愛知県,名古屋市中村区名駅,4-4-34,タクトビル4F,,
ささら庭 名古屋 名駅店,050-5484-6618,,愛知県,名古屋市中村区名駅,4-4-18,泰生ビル6F,,
最飛びヒレ家 馬喰一代 名古屋EAST,050-5486-6657,,愛知県,名古屋市中村区名駅,2-41-10,アストラーレ名駅2F,,
